"Grand-Blue",FF00A1DE,8 , 16 , 20 , 24 , 23 , 20 , 20 , 20 , 20 , 20 , 22 , 24 , 28 , 24 , 20 , 18 , 17 , 16 , 13 , 56 , 160 , 80 , 57 , 120 , 79 , 32 , 121 , 104 , 18 , 80 , 73 , 47 , 79 , 56 , 49 , 97 , 112 , 145
"Chicago-Blue",FF00A1DE,8 , 16 , 20 , 24 , 23 , 20 , 20 , 20 , 20 , 20 , 22 , 24 , 28 , 23 , 21 , 18 , 17 , 16 , 13 , 76 , 152 , 94 , 55 , 87 , 79 , 78 , 39 , 59 , 74 , 77 , 59 , 69 , 98 , 80 , 43 , 71 , 116 , 146
"Division",FF00A1DE,8 , 16 , 19 , 24 , 24 , 20 , 20 , 20 , 20 , 20 , 22 , 23 , 28 , 24 , 20 , 18 , 17 , 16 , 14 , 35 , 160 , 75 , 81 , 87 , 14 , 95 , 72 , 27 , 3 , 61 , 103 , 59 , 67 , 83 , 32 , 69 , 33 , 135
"Damen-O'Hare",FF00A1DE,7 , 16 , 19 , 24 , 25 , 20 , 20 , 20 , 20 , 20 , 21 , 24 , 28 , 24 , 20 , 17 , 16 , 16 , 15 , 56 , 100 , 71 , 90 , 90 , 8 , 56 , 145 , 93 , 58 , 44 , 77 , 55 , 64 , 44 , 165 , 110 , 37 , 82
"Western-O'Hare",FF00A1DE,6 , 17 , 18 , 23 , 25 , 20 , 20 , 20 , 20 , 20 , 22 , 24 , 27 , 24 , 22 , 17 , 16 , 16 , 15 , 27 , 99 , 57 , 95 , 41 , 58 , 62 , 110 , 76 , 67 , 44 , 72 , 34 , 52 , 59 , 111 , 133 , 29 , 73
"California-O'Hare",FF00A1DE,6 , 15 , 20 , 23 , 24 , 20 , 20 , 20 , 20 , 20 , 22 , 23 , 28 , 24 , 21 , 18 , 17 , 16 , 15 , 30 , 94 , 83 , 98 , 52 , 43 , 48 , 119 , 95 , 49 , 79 , 66 , 53 , 45 , 36 , 200 , 139 , 33 , 67
"Logan Square",FF00A1DE,6 , 15 , 19 , 24 , 23 , 21 , 20 , 20 , 20 , 20 , 21 , 24 , 27 , 25 , 20 , 18 , 17 , 16 , 16 , 131 , 77 , 41 , 80 , 77 , 76 , 20 , 82 , 105 , 63 , 65 , 55 , 65 , 27 , 44 , 93 , 103 , 43 , 142
"Belmont-Blue",FF00A1DE,6 , 15 , 18 , 24 , 23 , 21 , 20 , 20 , 20 , 20 , 21 , 23 , 28 , 24 , 22 , 18 , 17 , 16 , 15 , 124 , 103 , 103 , 81 , 62 , 148 , 45 , 83 , 151 , 65 , 87 , 31 , 48 , 82 , 52 , 73 , 128 , 73 , 130
"Addison-Blue",FF00A1DE,5 , 16 , 18 , 23 , 23 , 21 , 20 , 20 , 20 , 20 , 22 , 23 , 27 , 25 , 22 , 17 , 17 , 16 , 14 , 6 , 108 , 66 , 68 , 75 , 62 , 55 , 102 , 124 , 34 , 69 , 58 , 77 , 69 , 67 , 71 , 124 , 79 , 135
"Irving Park-Blue",FF00A1DE,3 , 15 , 20 , 23 , 24 , 21 , 20 , 20 , 20 , 20 , 22 , 23 , 27 , 25 , 21 , 18 , 16 , 16 , 15 , 70 , 85 , 93 , 83 , 74 , 96 , 39 , 85 , 137 , 35 , 74 , 57 , 62 , 58 , 42 , 48 , 109 , 218 , 166
"Montrose-Blue",FF00A1DE,3 , 15 , 19 , 23 , 24 , 21 , 20 , 20 , 20 , 20 , 21 , 23 , 27 , 26 , 21 , 18 , 17 , 16 , 15 , 69 , 81 , 99 , 55 , 54 , 143 , 34 , 90 , 121 , 77 , 120 , 65 , 69 , 78 , 44 , 33 , 166 , 200 , 223
"Jefferson Park",FF00A1DE,3 , 15 , 18 , 23 , 24 , 21 , 20 , 20 , 20 , 20 , 21 , 23 , 27 , 25 , 22 , 18 , 17 , 16 , 16 , 138 , 81 , 95 , 57 , 39 , 88 , 104 , 72 , 77 , 73 , 120 , 84 , 48 , 57 , 57 , 86 , 81 , 129 , 177
"Harlem-O'Hare",FF00A1DE,2 , 15 , 19 , 20 , 24 , 21 , 20 , 20 , 20 , 20 , 21 , 23 , 27 , 26 , 22 , 18 , 17 , 16 , 16 , 34 , 64 , 161 , 30 , 69 , 51 , 62 , 49 , 82 , 99 , 9 , 82 , 84 , 60 , 54 , 86 , 51 , 93 , 192
"Kimball",FF62361B,11 , 17 , 25 , 23 , 19 , 18 , 17 , 18 , 19 , 20 , 20 , 24 , 23 , 19 , 17 , 17 , 17 , 16 , 14 , 44 , 29 , 79 , 22 , 22 , 44 , 44 , 36 , 15 , 0 , 0 , 115 , 57 , 15 , 0 , 43 , 44 , 44 , 43
